vision,nlp,timeseries,tabular,graph,detection,segmentation,classification,regression,generation,medical,autonomous,multimodal,real_time,efficiency
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
